link,location,time,rx_gbs,tx_gbs
Verizon,US-DA3,2024-05-01 00:00:00,2.465220145,9.689268193
Verizon,US-DA3,2024-05-01 01:00:00,2.280574848,11.636575472
Verizon,US-DA3,2024-05-01 02:00:00,1.70296266,3.688097012
Verizon,US-DA3,2024-05-01 03:00:00,1.565918906,10.631741756
Verizon,US-DA3,2024-05-01 04:00:00,0.97609691,4.585088454
Verizon,US-DA3,2024-05-01 05:00:00,1.494075525,11.549112296
Verizon,US-DA3,2024-05-01 06:00:00,8.673123670999999,4.569296113
Verizon,US-DA3,2024-05-01 07:00:00,1.504681847,0.0
Verizon,US-DA3,2024-05-01 08:00:00,0.647991969,2.567409342
Verizon,US-DA3,2024-05-01 09:00:00,1.048199691,4.014287661
Verizon,US-DA3,2024-05-01 10:00:00,5.535361947,12.204455188
Verizon,US-DA3,2024-05-01 11:00:00,2.520528922,4.564396336
Verizon,US-DA3,2024-05-01 12:00:00,0.67812793,6.571057653
Verizon,US-DA3,2024-05-01 13:00:00,0.837488732,3.503826071
Verizon,US-DA3,2024-05-01 14:00:00,3.684749607,6.387534672
Verizon,US-DA3,2024-05-01 15:00:00,1.338288679,4.758529572
Verizon,US-DA3,2024-05-01 16:00:00,7.578730803,2.070556029
Verizon,US-DA3,2024-05-01 17:00:00,1.252997088,10.520229461
Verizon,US-DA3,2024-05-01 18:00:00,3.768095832,2.814498891
Verizon,US-DA3,2024-05-01 19:00:00,4.65409649,2.606199117
Verizon,US-DA3,2024-05-01 20:00:00,1.610973336,4.182907791
Verizon,US-DA3,2024-05-01 21:00:00,4.090441678,1.809898345
Verizon,US-DA3,2024-05-01 22:00:00,1.609113628,4.236029167
Verizon,US-DA3,2024-05-01 23:00:00,1.192434494,3.809892921
Verizon,US-DA3,2024-05-02 00:00:00,1.148036468,2.666896615
Verizon,US-DA3,2024-05-02 01:00:00,1.094988562,1.43889315
Verizon,US-DA3,2024-05-02 02:00:00,0.889843661,4.661999297
Verizon,US-DA3,2024-05-02 03:00:00,3.747575266,11.812364196
Verizon,US-DA3,2024-05-02 04:00:00,1.741874229,5.257947303
Verizon,US-DA3,2024-05-02 05:00:00,1.224762549,5.820927491
Verizon,US-DA3,2024-05-02 06:00:00,1.591316348,2.099429143
Verizon,US-DA3,2024-05-02 07:00:00,0.661907034,8.910149104
Verizon,US-DA3,2024-05-02 08:00:00,1.67177476,6.286011872
Verizon,US-DA3,2024-05-02 09:00:00,1.024027016,4.733079945
Verizon,US-DA3,2024-05-02 10:00:00,2.205417562,4.117885214999999
Verizon,US-DA3,2024-05-02 11:00:00,0.584588574,3.544245882
Verizon,US-DA3,2024-05-02 12:00:00,1.7856233700000002,2.719666825
Verizon,US-DA3,2024-05-02 13:00:00,0.692318032,3.289175858
Verizon,US-DA3,2024-05-02 14:00:00,1.181787792,10.857269432
Verizon,US-DA3,2024-05-02 15:00:00,1.130222724,11.597891629
Verizon,US-DA3,2024-05-02 16:00:00,10.15966493,10.96791971
Verizon,US-DA3,2024-05-02 17:00:00,1.058033394,3.956689843
Verizon,US-DA3,2024-05-02 18:00:00,0.715377923,1.584939699
Verizon,US-DA3,2024-05-02 19:00:00,1.113598666,4.487893077
Verizon,US-DA3,2024-05-02 20:00:00,0.615918342,4.57359951
Verizon,US-DA3,2024-05-02 21:00:00,1.218390013,7.385996089
Verizon,US-DA3,2024-05-02 22:00:00,8.386592709,2.192172498
Verizon,US-DA3,2024-05-02 23:00:00,1.099047191,10.542695134
Verizon,US-DA3,2024-05-03 00:00:00,1.730314882,4.064600945
Verizon,US-DA3,2024-05-03 01:00:00,8.793937720999999,11.431521477
