link,location,time,rx_gbs,tx_gbs
CenturyLink,US-DA3,2024-05-01 00:00:00,14.683517889,2.807223735
CenturyLink,US-DA3,2024-05-01 01:00:00,13.116113454,1.471959508
CenturyLink,US-DA3,2024-05-01 02:00:00,15.790005454,3.518631358
CenturyLink,US-DA3,2024-05-01 03:00:00,2.91899691,14.720633979
CenturyLink,US-DA3,2024-05-01 04:00:00,1.276346274,4.7832017780000005
CenturyLink,US-DA3,2024-05-01 05:00:00,17.89838217,1.972074332
CenturyLink,US-DA3,2024-05-01 06:00:00,0.871183715,6.416412906
CenturyLink,US-DA3,2024-05-01 07:00:00,1.72416287,1.963089634
CenturyLink,US-DA3,2024-05-01 08:00:00,13.116113454,1.191528342
CenturyLink,US-DA3,2024-05-01 09:00:00,1.33347274,0.4319257669999999
CenturyLink,US-DA3,2024-05-01 10:00:00,6.38974761,3.404731123
CenturyLink,US-DA3,2024-05-01 11:00:00,1.497682934,4.451541933
CenturyLink,US-DA3,2024-05-01 12:00:00,1.501256047,1.976116239
CenturyLink,US-DA3,2024-05-01 13:00:00,0.629412719,1.43641471
CenturyLink,US-DA3,2024-05-01 14:00:00,1.403072094,0.742397352
CenturyLink,US-DA3,2024-05-01 15:00:00,5.078187741,1.5385385619999998
CenturyLink,US-DA3,2024-05-01 16:00:00,0.98875697,1.509341485
CenturyLink,US-DA3,2024-05-01 17:00:00,0.696197451,5.728728279
CenturyLink,US-DA3,2024-05-01 18:00:00,1.436037444,0.6129359839999999
CenturyLink,US-DA3,2024-05-01 19:00:00,9.00218471,1.798650641
CenturyLink,US-DA3,2024-05-01 20:00:00,3.159907775,2.47406254
CenturyLink,US-DA3,2024-05-01 21:00:00,6.046871724,0.745322566
CenturyLink,US-DA3,2024-05-01 22:00:00,10.907933815,1.798176434
CenturyLink,US-DA3,2024-05-01 23:00:00,0.669154377,6.83528435
CenturyLink,US-DA3,2024-05-02 00:00:00,2.420377672,2.027095431
CenturyLink,US-DA3,2024-05-02 01:00:00,0.828316712,0.734657311
CenturyLink,US-DA3,2024-05-02 02:00:00,11.459187214,1.905553499
CenturyLink,US-DA3,2024-05-02 03:00:00,0.53172961,2.177211934
CenturyLink,US-DA3,2024-05-02 04:00:00,1.25236565,2.290922803
CenturyLink,US-DA3,2024-05-02 05:00:00,1.30292907,2.03604523
